resource_id	furtherInformationURL	resource_name
1	https://eol.org/resources/1	EOL Dynamic Hierarchy April 2022
10	https://eol.org/resources/10	eMammal
100	https://eol.org/resources/100	Finland Species List
101	https://eol.org/resources/101	Ethiopia Species List
1013	https://eol.org/resources/1013	Test of REP records and metadata
102	https://eol.org/resources/102	Estonia Species List
1021	https://eol.org/resources/1021	3I: Cicadellinae
1022	https://eol.org/resources/1022	3I: Deltocephalinae
1024	https://eol.org/resources/1024	GBIF national node type records Sweden
1025	https://eol.org/resources/1025	GBIF national node type records Germany
1027	https://eol.org/resources/1027	GBIF national node type records France
1028	https://eol.org/resources/1028	GBIF nat&#39;l node type records Netherlands
1029	https://eol.org/resources/1029	GBIF national node type records Brazil
103	https://eol.org/resources/103	Fiji Species List
1030	https://eol.org/resources/1030	GBIF national node type records UK
1031	https://eol.org/resources/1031	iDigBio type specimen records
1035	https://eol.org/resources/1035	Anderson and Wiens 2017
1036	https://eol.org/resources/1036	Feldman and Meiri 2014
1037	https://eol.org/resources/1037	Vidan et al 2017
1038	https://eol.org/resources/1038	Martins et al 2008
1039	https://eol.org/resources/1039	Ankel Simons 2008
104	https://eol.org/resources/104	El Salvador Species List
1040	https://eol.org/resources/1040	Borges et al 2016
1041	https://eol.org/resources/1041	Choe and Crespi 1997
1042	https://eol.org/resources/1042	Da Silva et al 2020
1043	https://eol.org/resources/1043	Desutter Grandcolas 1995
1044	https://eol.org/resources/1044	Fabre et al 2016
1045	https://eol.org/resources/1045	Fornoff et al 2012
1046	https://eol.org/resources/1046	Gamble et al 2015
1047	https://eol.org/resources/1047	GILBERT 1985
1048	https://eol.org/resources/1048	Gwynne 2001
1049	https://eol.org/resources/1049	Hunt et al 2009
105	https://eol.org/resources/105	Equatorial Guinea Species List
1050	https://eol.org/resources/1050	Iwaniuk et al 2020
1051	https://eol.org/resources/1051	Kawahara et al 2018
1052	https://eol.org/resources/1052	Le Duc et al 2015
1053	https://eol.org/resources/1053	Lewis and Taylor 1965
1054	https://eol.org/resources/1054	McDermott 1964
1055	https://eol.org/resources/1055	Owens and Lewis 2018
1056	https://eol.org/resources/1056	Saunders 2002
1057	https://eol.org/resources/1057	Schmitz and Motani 2011
1058	https://eol.org/resources/1058	Steinbauer and Weir 2007
1059	https://eol.org/resources/1059	Wcislo et al 2004
106	https://eol.org/resources/106	Eritrea Species List
1060	https://eol.org/resources/1060	NMNH type specimens
1061	https://eol.org/resources/1061	Mikmaq names
1062	https://eol.org/resources/1062	Insect Development
1063	https://eol.org/resources/1063	Insect Wings
1064	https://eol.org/resources/1064	Body Size Data for North American Spiders
1065	https://eol.org/resources/1065	Smithsonian Contributions to Zoology
1067	https://eol.org/resources/1067	Smithsonian Contributions to Botany
1068	https://eol.org/resources/1068	Noguchi et al 2006
1069	https://eol.org/resources/1069	Memoirs of the American Entomological Society
107	https://eol.org/resources/107	Dominican Republic Species List
1070	https://eol.org/resources/1070	North American Flora
1072	https://eol.org/resources/1072	wikidata_hierarchy tar gz
1076	https://eol.org/resources/1076	Microbial Eukaryotes Trophic Guilds
1078	https://eol.org/resources/1078	Swain et al 2016
1079	https://eol.org/resources/1079	Schack et al 2020
108	https://eol.org/resources/108	Ecuador Species List
1080	https://eol.org/resources/1080	Govindarajan et al 2011
1081	https://eol.org/resources/1081	Robin et al 2018
1083	https://eol.org/resources/1083	Schack et al 2020
1084	https://eol.org/resources/1084	Emig 1985
1085	https://eol.org/resources/1085	Sorensen et al 2008
1086	https://eol.org/resources/1086	Fuchs et al 2010
1087	https://eol.org/resources/1087	Littlewood and Bray 2000
1088	https://eol.org/resources/1088	Suzuki et al 2010
1089	https://eol.org/resources/1089	Halanych 1996
109	https://eol.org/resources/109	Denmark Species List
1090	https://eol.org/resources/1090	Cameron et al 2000
1091	https://eol.org/resources/1091	Herranz et al 2021
1092	https://eol.org/resources/1092	Pettibone 1982
1093	https://eol.org/resources/1093	Altman 1965
1094	https://eol.org/resources/1094	Strand and Sundberg 2015
1095	https://eol.org/resources/1095	Schmidt Rhaesa 2012
1096	https://eol.org/resources/1096	Boyle and Rice 2018
1097	https://eol.org/resources/1097	Littlewood et al 1998
1098	https://eol.org/resources/1098	Kanneby 2016
1099	https://eol.org/resources/1099	Marshall and Valentine 2010
11	https://eol.org/resources/11	SINA images
110	https://eol.org/resources/110	Djibouti Species List
1100	https://eol.org/resources/1100	Ma et al 2010
1101	https://eol.org/resources/1101	Brusca and Brusca, 2003
1102	https://eol.org/resources/1102	Panganiban et al 1997
1103	https://eol.org/resources/1103	Edmondst 2000
1104	https://eol.org/resources/1104	Alava and Aguirre 2005
1105	https://eol.org/resources/1105	Necchi 2016
1106	https://eol.org/resources/1106	Yoon et al 2006
1107	https://eol.org/resources/1107	Starko 2019
1108	https://eol.org/resources/1108	Von Konrat et al 2008
1109	https://eol.org/resources/1109	Lavrov et al 2004
111	https://eol.org/resources/111	Dominica Species List
1110	https://eol.org/resources/1110	Shenkar et al 2011
1111	https://eol.org/resources/1111	Hageman 2003
1112	https://eol.org/resources/1112	Cartwright 2003
1113	https://eol.org/resources/1113	Ryland 1997
1114	https://eol.org/resources/1114	McFadden et al 2010
1115	https://eol.org/resources/1115	Francis 1979
1116	https://eol.org/resources/1116	Berking 2007
1117	https://eol.org/resources/1117	Genikhovich and Technau 2017
1118	https://eol.org/resources/1118	Dunn et al 2015
1119	https://eol.org/resources/1119	Schilthuizen and Davison 2005
112	https://eol.org/resources/112	Cyprus Species List
1120	https://eol.org/resources/1120	Chia 1966
1121	https://eol.org/resources/1121	Hotchkiss 2000
1122	https://eol.org/resources/1122	Grabowsky 1994b
1123	https://eol.org/resources/1123	Smirnov 2014
1124	https://eol.org/resources/1124	Paul and Smith 1984
1125	https://eol.org/resources/1125	Namigai et al 2014
113	https://eol.org/resources/113	Czech Republic Species List
1131	https://eol.org/resources/1131	Habitat data for microbial organisms
1132	https://eol.org/resources/1132	Microbe ecomorphological guilds
1136	https://eol.org/resources/1136	Saproxylic Organisms
114	https://eol.org/resources/114	Democratic Republic of the Congo Species List
1142	https://eol.org/resources/1142	Body length data for North American Syrphidae, Tabanidae
1143	https://eol.org/resources/1143	Cellularity and growth form
1149	https://eol.org/resources/1149	Body Length Data for North American Beetles
115	https://eol.org/resources/115	Croatia Species List
1150	https://eol.org/resources/1150	Achatz et al 2013
1151	https://eol.org/resources/1151	Gastineau at al 2022
1152	https://eol.org/resources/1152	Faubel and Kolasa 1978
1153	https://eol.org/resources/1153	Kaulfuss et al, 2013
1154	https://eol.org/resources/1154	Massard and Geimer, 2008
1155	https://eol.org/resources/1155	NEWMAN AND CANNON, 1997
1156	https://eol.org/resources/1156	Kanzaki et al, 2017
1157	https://eol.org/resources/1157	Ax and Dörjes, 1966
1158	https://eol.org/resources/1158	Body Size Data for North American Hemiptera
1159	https://eol.org/resources/1159	Trophic guild data for fungi
116	https://eol.org/resources/116	Cuba Species List
1161	https://eol.org/resources/1161	Body Size Data for North American Orthopteroid
1162	https://eol.org/resources/1162	Catalogue of Life  26 March 2024
1163	https://eol.org/resources/1163	Wolfgang Bettighofer Amoebazoa Trait Data
1164	https://eol.org/resources/1164	Habitat data for fungi
1166	https://eol.org/resources/1166	Fungi ecomorphological trait data
1167	https://eol.org/resources/1167	Invertebrate phenology
117	https://eol.org/resources/117	Curacao Species List
1171	https://eol.org/resources/1171	Habitat data for aquatic invertebrates
1173	https://eol.org/resources/1173	Arthropod Trophic Ecology Data
1174	https://eol.org/resources/1174	Dynamic Hierarchy Version 2.2.3 - Test
1176	https://eol.org/resources/1176	DeLeo Danielle et al
1177	https://eol.org/resources/1177	iNaturalist data coverage
1178	https://eol.org/resources/1178	GBIF data coverage
118	https://eol.org/resources/118	Chile Species List
1180	https://eol.org/resources/1180	GGBN data coverage
1181	https://eol.org/resources/1181	BHL data coverage
1183	https://eol.org/resources/1183	TRY database summary
119	https://eol.org/resources/119	Colombia Species List
12	https://eol.org/resources/12	SI Wild
120	https://eol.org/resources/120	Comoros Species List
121	https://eol.org/resources/121	Cape Verde Species List
122	https://eol.org/resources/122	Central African Republic Species List
123	https://eol.org/resources/123	Chad Species List
124	https://eol.org/resources/124	Canada Species List
125	https://eol.org/resources/125	Gabon Species List
126	https://eol.org/resources/126	Georgia Species List
127	https://eol.org/resources/127	Germany Species List
128	https://eol.org/resources/128	Ghana Species List
129	https://eol.org/resources/129	Greece Species List
13	https://eol.org/resources/13	Arctic Birds
131	https://eol.org/resources/131	Guinea Species List
132	https://eol.org/resources/132	Guyana Species List
133	https://eol.org/resources/133	Haiti Species List
134	https://eol.org/resources/134	Iceland Species List
135	https://eol.org/resources/135	Indonesia Species List
137	https://eol.org/resources/137	Guinea Bissau Species List
138	https://eol.org/resources/138	Iraq Species List
139	https://eol.org/resources/139	Ireland Species List
14	https://eol.org/resources/14	Moorea Biocode
140	https://eol.org/resources/140	Israel Species List
141	https://eol.org/resources/141	Italy Species List
142	https://eol.org/resources/142	Jamaica Species List
143	https://eol.org/resources/143	Japan Species List
144	https://eol.org/resources/144	Jordan Species List
145	https://eol.org/resources/145	Kazakhstan Species List
146	https://eol.org/resources/146	Kenya Species List
147	https://eol.org/resources/147	Kiribati Species List
148	https://eol.org/resources/148	Kuwait Species List
149	https://eol.org/resources/149	Kyrgyzstan Species List
15	https://eol.org/resources/15	Alaskan Arthropods
150	https://eol.org/resources/150	Laos Species List
151	https://eol.org/resources/151	Latvia Species List
152	https://eol.org/resources/152	Lebanon Species List
153	https://eol.org/resources/153	Lesotho Species List
154	https://eol.org/resources/154	Liberia Species List
155	https://eol.org/resources/155	Libya Species List
156	https://eol.org/resources/156	Liechtenstein Species List
157	https://eol.org/resources/157	Lithuania Species List
158	https://eol.org/resources/158	Luxembourg Species List
159	https://eol.org/resources/159	Macau Species List
16	https://eol.org/resources/16	Arctic Algae
160	https://eol.org/resources/160	Madagascar Species List
161	https://eol.org/resources/161	Malawi Species List
162	https://eol.org/resources/162	Malaysia Species List
163	https://eol.org/resources/163	Maldives Species List
164	https://eol.org/resources/164	Mali Species List
165	https://eol.org/resources/165	Marshall Islands Species List
166	https://eol.org/resources/166	Mauritania Species List
167	https://eol.org/resources/167	Mauritius Species List
168	https://eol.org/resources/168	Mexico Species List
17	https://eol.org/resources/17	Arctic Amphibians and Reptiles
172	https://eol.org/resources/172	Moldova Species List
173	https://eol.org/resources/173	Pantheria
174	https://eol.org/resources/174	Monaco Species List
175	https://eol.org/resources/175	Mongolia Species List
176	https://eol.org/resources/176	Montenegro Species List
177	https://eol.org/resources/177	Morocco Species List
178	https://eol.org/resources/178	Mozambique Species List
179	https://eol.org/resources/179	Myanmar Species List
18	https://eol.org/resources/18	Arctic Freshwater Fishes
180	https://eol.org/resources/180	Namibia Species List
181	https://eol.org/resources/181	Harvard Museum of Comparative Zoology
182	https://eol.org/resources/182	Nauru Species List
183	https://eol.org/resources/183	Nepal Species List
184	https://eol.org/resources/184	The Netherlands Species List
185	https://eol.org/resources/185	New Zealand Species List
186	https://eol.org/resources/186	Nicaragua Species List
187	https://eol.org/resources/187	Niger Species List
188	https://eol.org/resources/188	Nigeria Species List
189	https://eol.org/resources/189	Niue Species List
190	https://eol.org/resources/190	North Korean Species List
194	https://eol.org/resources/194	Palau Species List
195	https://eol.org/resources/195	Palestine Species List
196	https://eol.org/resources/196	Panama Species List
197	https://eol.org/resources/197	Papua New Guinea Species List
198	https://eol.org/resources/198	Paraguay Species List
199	https://eol.org/resources/199	China Species List
2	https://eol.org/resources/2	CalPhotos
20	https://eol.org/resources/20	Wildfinder (WWF)
200	https://eol.org/resources/200	Peru Species List
201	https://eol.org/resources/201	Philippines Species List
202	https://eol.org/resources/202	Poland Species List
203	https://eol.org/resources/203	Portugal Species List
204	https://eol.org/resources/204	Qatar Species List
205	https://eol.org/resources/205	Macedonia Species List
206	https://eol.org/resources/206	Republic of the Congo Species List
207	https://eol.org/resources/207	Romania Species List
208	https://eol.org/resources/208	Russia Species List
209	https://eol.org/resources/209	Samoa Species List
21	https://eol.org/resources/21	Indian Ocean Species List
211	https://eol.org/resources/211	Sao Tome and Principe Species List
212	https://eol.org/resources/212	Saudi Arabia Species List
213	https://eol.org/resources/213	Senegal Species List
214	https://eol.org/resources/214	Serbia Species List
215	https://eol.org/resources/215	Seychelles Species List
216	https://eol.org/resources/216	Sierra Leone Species List
217	https://eol.org/resources/217	Singapore Species List
218	https://eol.org/resources/218	Sint Maarten Species List
219	https://eol.org/resources/219	Slovakia Species List
22	https://eol.org/resources/22	Arctic Ocean Species List
220	https://eol.org/resources/220	Slovenia Species List
221	https://eol.org/resources/221	Solomon Islands Species List
222	https://eol.org/resources/222	Somalia Species List
223	https://eol.org/resources/223	South Africa Species List
224	https://eol.org/resources/224	South Korea Species List
225	https://eol.org/resources/225	South Sudan Species List
226	https://eol.org/resources/226	Sri Lanka Species List
227	https://eol.org/resources/227	Sudan Species List
228	https://eol.org/resources/228	Suriname Species List
229	https://eol.org/resources/229	Eswatini Species List
23	https://eol.org/resources/23	Southern Ocean Species List
230	https://eol.org/resources/230	Sweden Species List
231	https://eol.org/resources/231	Switzerland Species List
232	https://eol.org/resources/232	Turkey Species List
233	https://eol.org/resources/233	Tuvalu Species List
234	https://eol.org/resources/234	Uganda Species List
235	https://eol.org/resources/235	Rwanda Species List
236	https://eol.org/resources/236	Saint Lucia Species List
237	https://eol.org/resources/237	Ukraine Species List
238	https://eol.org/resources/238	United Arab Emirates Species List
239	https://eol.org/resources/239	United States Species List
24	https://eol.org/resources/24	Arctic Lichens
240	https://eol.org/resources/240	Uruguay Species List
241	https://eol.org/resources/241	Uzbekistan Species List
242	https://eol.org/resources/242	Vanuatu Species List
243	https://eol.org/resources/243	Vatican City Species List
244	https://eol.org/resources/244	Venezuela Species List
245	https://eol.org/resources/245	Vietnam Species List
246	https://eol.org/resources/246	Yemen Species List
247	https://eol.org/resources/247	Zambia Species List
248	https://eol.org/resources/248	Zimbabwe Species List
249	https://eol.org/resources/249	Hong Kong Species List
25	https://eol.org/resources/25	Arctic Protists
250	https://eol.org/resources/250	Puerto Rico Species List
251	https://eol.org/resources/251	Mayotte Species List
252	https://eol.org/resources/252	Taiwan Species List
253	https://eol.org/resources/253	Territory of the French Southern and Antarctic Lands
254	https://eol.org/resources/254	Territory of Heard Island and McDonald Islands
255	https://eol.org/resources/255	Cocos Islands Species List
256	https://eol.org/resources/256	Christmas Island Species List
257	https://eol.org/resources/257	New Caledonia Species List
258	https://eol.org/resources/258	Norfolk Island Species List
259	https://eol.org/resources/259	Gibraltar Species List
26	https://eol.org/resources/26	Arctic Register of Marine Species
260	https://eol.org/resources/260	Bailiwick of Jersey Species List
261	https://eol.org/resources/261	Isle of Man Species List
262	https://eol.org/resources/262	Guernsey Species List
263	https://eol.org/resources/263	Saint Helena Ascension and Tristan da Cunha
265	https://eol.org/resources/265	French Guiana Species List
267	https://eol.org/resources/267	Greenland Species List
268	https://eol.org/resources/268	Falkland Islands Species List
269	https://eol.org/resources/269	South Georgia and the South Sandwich Islands
27	https://eol.org/resources/27	Arctic Vascular Plants
271	https://eol.org/resources/271	Anguilla Species List
272	https://eol.org/resources/272	Turks and Caicos Islands Species List
274	https://eol.org/resources/274	Montserrat Species List
275	https://eol.org/resources/275	Saint Martin Species List
276	https://eol.org/resources/276	Saint Barthelemy Species List
277	https://eol.org/resources/277	Guadeloupe Species List
278	https://eol.org/resources/278	Cayman Islands Species List
279	https://eol.org/resources/279	French Polynesia Species List
28	https://eol.org/resources/28	Arctic Arthropods
280	https://eol.org/resources/280	Pitcairn Henderson Ducie and Oeno Islands
283	https://eol.org/resources/283	Mariana Islands Species List
284	https://eol.org/resources/284	Guam Species List
285	https://eol.org/resources/285	US Virgin Islands Species List
286	https://eol.org/resources/286	US Minor Outlying Islands Species List
287	https://eol.org/resources/287	Bonaire Saint Eustatius and Saba Species List
288	https://eol.org/resources/288	Kosovo Species List
289	https://eol.org/resources/289	Reunion Species List
29	https://eol.org/resources/29	Calcification rate literature
290	https://eol.org/resources/290	Malta Species List
291	https://eol.org/resources/291	Federated States of Micronesia Species List
292	https://eol.org/resources/292	Saint Vincent and the Grenadines Species List
293	https://eol.org/resources/293	Tibet Species List
294	https://eol.org/resources/294	Faroe Islands Species List
295	https://eol.org/resources/295	France Species List
296	https://eol.org/resources/296	Hungary Species List
297	https://eol.org/resources/297	Costa Rica Species List
298	https://eol.org/resources/298	Honduras Species List
299	https://eol.org/resources/299	Guatemala Species List
3	https://eol.org/resources/3	000_Carnivore Names Test
30	https://eol.org/resources/30	Shelled animal body mass
300	https://eol.org/resources/300	South Pacific Species List
301	https://eol.org/resources/301	North Atlantic Species List
302	https://eol.org/resources/302	South Atlantic Species List
303	https://eol.org/resources/303	North Sea Species List
304	https://eol.org/resources/304	Celtic Sea Species List
305	https://eol.org/resources/305	Norwegian Sea Species List
306	https://eol.org/resources/306	Greenland Sea Species List
307	https://eol.org/resources/307	Irish Sea Species List
308	https://eol.org/resources/308	Kattegat Species List
309	https://eol.org/resources/309	Skagerrak Species List
31	https://eol.org/resources/31	Prokaryote Phenome Data
310	https://eol.org/resources/310	English Channel Species List
311	https://eol.org/resources/311	Gulf of Bothnia Species List
312	https://eol.org/resources/312	Gulf of Finland Species List
313	https://eol.org/resources/313	Bristol Channel Species List
314	https://eol.org/resources/314	Adriatic Sea Species List
315	https://eol.org/resources/315	Black Sea Species List
316	https://eol.org/resources/316	Sea of Azov Species List
317	https://eol.org/resources/317	Balearic Sea Species List
318	https://eol.org/resources/318	Alboran Sea Species List
319	https://eol.org/resources/319	Strait of Gibraltar Species List
32	https://eol.org/resources/32	Matishov et al 2000
320	https://eol.org/resources/320	Ionian Sea Species List
321	https://eol.org/resources/321	Ligurian Sea Species List
322	https://eol.org/resources/322	Sea of Marmara Species List
323	https://eol.org/resources/323	Tyrrhenian Sea Species List
324	https://eol.org/resources/324	East Siberian Sea Species List
325	https://eol.org/resources/325	Laptev Sea Species List
326	https://eol.org/resources/326	Kara Sea Species List
327	https://eol.org/resources/327	Barents Sea Species List
328	https://eol.org/resources/328	White Sea Species List
329	https://eol.org/resources/329	Davis Strait Species List
33	https://eol.org/resources/33	Barton Pershing et al 2013
330	https://eol.org/resources/330	Hudson Strait Species List
331	https://eol.org/resources/331	Hudson Bay Species List
332	https://eol.org/resources/332	Baffin Bay Species List
333	https://eol.org/resources/333	Lincoln Sea Species List
334	https://eol.org/resources/334	Beaufort Sea Species List
335	https://eol.org/resources/335	Chukchi Sea Species List
336	https://eol.org/resources/336	Mozambique Channel Species List
337	https://eol.org/resources/337	Gulf of Aqaba Species List
338	https://eol.org/resources/338	Red Sea Species List
339	https://eol.org/resources/339	Gulf of Aden Species List
34	https://eol.org/resources/34	Benedetti et al 2015
340	https://eol.org/resources/340	Persian Gulf Species List
341	https://eol.org/resources/341	Gulf of Oman Species List
342	https://eol.org/resources/342	Arabian Sea Species List
343	https://eol.org/resources/343	Laccadive Sea Species List
344	https://eol.org/resources/344	Bay of Bengal Species List
345	https://eol.org/resources/345	Andaman Sea Species List
346	https://eol.org/resources/346	Malacca Strait Species List
347	https://eol.org/resources/347	Great Australian Bight Species List
348	https://eol.org/resources/348	Inner Seas off the West Coast of Scotland Species
349	https://eol.org/resources/349	Caribbean Sea Species List
35	https://eol.org/resources/35	Edwards et al
350	https://eol.org/resources/350	Gulf of Mexico Species List
351	https://eol.org/resources/351	Bay of Fundy Species List
352	https://eol.org/resources/352	Gulf of St Lawrence Species List
353	https://eol.org/resources/353	Labrador Sea Species List
354	https://eol.org/resources/354	Philippine Sea Species List
355	https://eol.org/resources/355	Eastern China Sea Species List
356	https://eol.org/resources/356	Yellow Sea Species List
357	https://eol.org/resources/357	Seto Inland Sea Species List
358	https://eol.org/resources/358	Sea of Japan Species List
359	https://eol.org/resources/359	Sea of Okhostk Species List
36	https://eol.org/resources/36	Marshall et al
360	https://eol.org/resources/360	Bering Sea Species List
361	https://eol.org/resources/361	Gulf of Alaska Species List
362	https://eol.org/resources/362	Gulf of California Species List
363	https://eol.org/resources/363	Rio de la Plata Species List
364	https://eol.org/resources/364	South China Sea Species List
365	https://eol.org/resources/365	Gulf of Thailand Species List
366	https://eol.org/resources/366	Singapore Strait Species List
367	https://eol.org/resources/367	Java Sea Species List
368	https://eol.org/resources/368	Makassar Strait Species List
369	https://eol.org/resources/369	Bali Sea Species List
37	https://eol.org/resources/37	Sal et al
370	https://eol.org/resources/370	Flores Sea Species List
371	https://eol.org/resources/371	Savu Sea Species List
372	https://eol.org/resources/372	Timor Sea Species List
373	https://eol.org/resources/373	Arafura Sea Species List
374	https://eol.org/resources/374	Banda Sea Species List
375	https://eol.org/resources/375	Gulf of Boni Species List
376	https://eol.org/resources/376	Ceram Sea Species List
377	https://eol.org/resources/377	Halmahera Sea Species List
379	https://eol.org/resources/379	Gulf of Tomini Species List
38	https://eol.org/resources/38	USDA Plants data
380	https://eol.org/resources/380	Sulu Sea Species List
381	https://eol.org/resources/381	Celebes Sea Species List
382	https://eol.org/resources/382	Bismarck Sea Species List
383	https://eol.org/resources/383	Solomon Sea Species List
384	https://eol.org/resources/384	Coral Sea Species List
385	https://eol.org/resources/385	Tasman Sea Species List
386	https://eol.org/resources/386	Bass Strait Species List
387	https://eol.org/resources/387	Northwestern Passages Species List
388	https://eol.org/resources/388	Bay of Biscay Species List
389	https://eol.org/resources/389	Gulf of Riga Species List
39	https://eol.org/resources/39	Plant Forms, Habitat and Distribution
390	https://eol.org/resources/390	Aegean Sea Species List
391	https://eol.org/resources/391	Gulf of Guinea Species List
392	https://eol.org/resources/392	Mineralogy
393	https://eol.org/resources/393	McClain Bivalve Sizes
394	https://eol.org/resources/394	Dc Birds maps
395	https://eol.org/resources/395	Fishbase
396	https://eol.org/resources/396	Global Biotic Interactions
398	https://eol.org/resources/398	Iran Species List
399	https://eol.org/resources/399	Saint Kitts and Nevis Species List
4	https://eol.org/resources/4	Flickr BHL
40	https://eol.org/resources/40	English Vernaculars for Landmark Taxa
400	https://eol.org/resources/400	Syria Species List
401	https://eol.org/resources/401	Turkmenistan Species List
402	https://eol.org/resources/402	Norway Species List
403	https://eol.org/resources/403	Oman Species List
404	https://eol.org/resources/404	Pakistan Species List
406	https://eol.org/resources/406	Polytraits
407	https://eol.org/resources/407	Ivory Coast Species List
41	https://eol.org/resources/41	BROT plant trait database for Mediterranean
410	https://eol.org/resources/410	Wikimedia Commons
411	https://eol.org/resources/411	Plant Growth Form Data from NMNH Botany specimens
413	https://eol.org/resources/413	Wikipedia (inferred records)
42	https://eol.org/resources/42	NMNH Primate Measurements
425	https://eol.org/resources/425	Reid et al
426	https://eol.org/resources/426	India Species List
427	https://eol.org/resources/427	Animal Diversity Web Traits and images
428	https://eol.org/resources/428	Antweb
429	https://eol.org/resources/429	San Marino Species List
43	https://eol.org/resources/43	Arctic Liverworts
430	https://eol.org/resources/430	AmphibiaWeb distribution data
431	https://eol.org/resources/431	Copepod sizes
433	https://eol.org/resources/433	Leblanc et al
435	https://eol.org/resources/435	Record et al, 2018
436	https://eol.org/resources/436	Widdicombe et al
438	https://eol.org/resources/438	Fire Effects Information System (USDA)
44	https://eol.org/resources/44	Arctic Mammals
441	https://eol.org/resources/441	O Brien et al
442	https://eol.org/resources/442	Olenina et al 2006
